dataset,method,split,traintest,coverage,width,rmse
wine-quality-red,linear_regression,19,train,0.949965254,3.168881576,0.643704758
yacht,linear_regression,0,test,0.967741935,2.363885962,8.559173278
yacht,linear_regression,0,train,0.938405797,2.357041647,8.898503268
yacht,linear_regression,1,test,0.903225806,2.368438027,10.13150091
yacht,linear_regression,1,train,0.938405797,2.368809291,8.686783104
yacht,linear_regression,2,test,0.933333333,2.335906196,10.46542598
yacht,linear_regression,2,train,0.942238267,2.33093456,8.683934425
yacht,linear_regression,3,test,1,2.379324633,7.712450733
yacht,linear_regression,3,train,0.934782609,2.35876923,8.965008962
yacht,linear_regression,4,test,0.870967742,2.385585243,11.32950437
yacht,linear_regression,4,train,0.942028986,2.385272852,8.559426064
yacht,linear_regression,5,test,0.838709677,2.353938103,12.47396135
yacht,linear_regression,5,train,0.949275362,2.349873932,8.458523756
yacht,linear_regression,6,test,0.935483871,2.347421639,9.780803756
yacht,linear_regression,6,train,0.942028986,2.32979846,8.754377626
yacht,linear_regression,7,test,0.967741935,2.347539471,9.680684237
yacht,linear_regression,7,train,0.938405797,2.342114244,8.785091485
yacht,linear_regression,8,test,0.933333333,2.339276455,9.411633262
yacht,linear_regression,8,train,0.938628159,2.340013373,8.765796193
yacht,linear_regression,9,test,0.935483871,2.367443285,9.443998124
yacht,linear_regression,9,train,0.938405797,2.365294054,8.761562518
yacht,linear_regression,10,test,1,2.362401043,7.166136944
yacht,linear_regression,10,train,0.934782609,2.356775369,8.985196662
yacht,linear_regression,11,test,1,2.330239533,9.913728051
yacht,linear_regression,11,train,0.934782609,2.330086796,8.975066485
yacht,linear_regression,12,test,1,2.396346755,7.447523395
yacht,linear_regression,12,train,0.938405797,2.376456077,8.973529413
yacht,linear_regression,13,test,1,2.366810952,7.361871411
yacht,linear_regression,13,train,0.934782609,2.365958898,9.040897741
yacht,linear_regression,14,test,0.967741935,2.349912278,8.656318958
yacht,linear_regression,14,train,0.938405797,2.349598166,8.851366797
yacht,linear_regression,15,test,0.967741935,2.379205607,8.524421081
yacht,linear_regression,15,train,0.938405797,2.366043286,8.898899975
yacht,linear_regression,16,test,0.838709677,2.363323909,13.97705896
yacht,linear_regression,16,train,0.945652174,2.335148412,8.225533446
yacht,linear_regression,17,test,0.967741935,2.367715416,9.04825804
yacht,linear_regression,17,train,0.938405797,2.349786437,8.893444144
yacht,linear_regression,18,test,0.935483871,2.36995702,9.177783711
yacht,linear_regression,18,train,0.942028986,2.366997645,8.77277682
yacht,linear_regression,19,test,0.935483871,2.39674979,9.259507149
yacht,linear_regression,19,train,0.942028986,2.392005712,8.813387548
